Index,Pitch,Roll,TurnRate
6581,6.66,-1.88,-8.96
6606,7.55,-7.11,-10.08
6627,8.23,-4.54,-11.87
6648,8.73,-5.76,-5.60
6668,8.65,-6.33,-10.64
6692,8.06,-9.07,-11.64
6713,6.91,-9.50,-8.17
6734,7.01,-6.02,-11.36
6757,6.99,-4.60,-9.63
6778,7.29,-4.30,-7.73
6802,7.91,-2.77,-7.67
6827,9.11,-1.60,-9.80
6847,8.50,-1.51,-7.39
6868,8.82,-3.37,-9.12
6894,9.01,-4.25,-11.20
6914,8.91,-2.82,-7.05
6935,9.05,-2.59,-8.73
6958,8.76,-4.45,-7.50
6980,8.20,-5.03,-9.24
7003,7.86,-4.07,-9.07
7024,7.73,-3.74,-8.29
7045,8.49,-3.12,-7.00
7069,7.94,-5.62,-9.74
7090,7.33,-10.24,-9.12
7111,6.42,-11.98,-10.47
7134,6.02,-12.48,-8.23
7155,5.61,-13.19,-7.73
7176,5.25,-12.23,-13.55
7196,4.22,-10.40,-10.52
7221,3.85,-7.02,-8.96
7241,4.74,-4.18,-8.51
7268,6.63,-4.45,-10.13
7288,7.07,-7.51,-9.52
7311,6.76,-4.23,-8.57
7332,8.08,-2.39,-10.13
7352,8.19,-3.66,-7.45
7376,8.43,-3.69,-9.01
7396,8.33,-3.79,-8.73
7418,8.20,-4.47,-6.38
7438,8.39,-7.58,-11.42
7462,7.73,-10.17,-10.19
7483,6.71,-10.00,-10.41
7507,7.02,-7.22,-8.73
7527,7.47,-6.73,-9.12
7548,7.79,-6.30,-9.80
7568,8.05,-7.15,-9.96
7592,7.69,-6.82,-9.46
7613,7.07,-5.34,-9.01
7636,7.32,-4.14,-7.84
7658,7.72,-3.56,-8.01
7683,8.20,-3.17,-9.52
7704,8.61,-2.48,-9.96
7734,8.34,-3.68,-6.49
7756,8.31,-5.99,-10.08
7775,8.10,-6.79,-11.20
7796,7.92,-6.06,-8.79
7816,8.12,-5.77,-8.79
7837,8.07,-5.90,-9.52
7861,7.96,-5.45,-9.46
7883,7.96,-4.56,-9.46
7903,7.84,-4.86,-8.29
7927,7.81,-5.36,-9.29
7948,7.67,-5.40,-9.52
7969,7.55,-5.63,-9.74
7993,7.27,-4.87,-9.80
8013,7.47,-3.54,-9.74
8034,7.99,-2.30,-8.51
8058,8.47,-2.08,-8.96
8078,8.67,-2.58,-8.90
8103,8.73,-2.87,-7.45
8124,9.08,-2.86,-8.29
8144,9.33,-4.06,-8.17
8169,8.82,-4.75,-9.24
8193,8.62,-4.87,-9.40
8209,8.36,-4.48,-8.29
8233,8.40,-4.32,-8.12
8254,8.42,-4.03,-9.96
8275,8.37,-4.45,-9.35
8300,8.31,-5.86,-8.79
8322,8.04,-6.86,-8.40
8342,7.74,-6.40,-8.96
8366,7.84,-5.64,-9.12
8387,7.92,-5.07,-9.12
8408,7.96,-4.20,-8.51
8432,8.01,-3.72,-9.96
8452,7.99,-3.80,-8.01
8473,8.07,-3.84,-8.85
8496,8.19,-3.43,-10.30
8517,7.82,-4.30,-7.39
8542,7.82,-4.44,-8.79
8561,7.75,-4.92,-10.19
8582,7.77,-4.90,-8.90
8603,8.03,-5.03,-9.07
8623,8.05,-5.86,-7.89
8647,8.22,-6.02,-8.34
8668,8.47,-6.72,-9.01
8691,8.24,-8.17,-9.35
8712,8.17,-8.43,-9.29
8733,7.90,-9.02,-8.96
8756,7.69,-9.13,-8.79
8778,7.32,-9.38,-10.02
8799,7.05,-9.41,-9.01
8822,6.62,-9.38,-9.01
8843,6.33,-9.33,-8.90
8864,6.06,-9.04,-8.51
8888,6.14,-9.05,-9.96
8908,6.31,-9.25,-8.79
8929,6.45,-9.67,-8.34
8958,6.50,-10.06,-7.73
8990,6.42,-11.18,-9.57
9011,5.59,-12.39,-9.01
9035,4.76,-11.58,-8.29
9055,4.31,-10.74,-8.01
9076,4.21,-10.87,-7.89
9100,3.76,-11.11,-8.12
9121,3.36,-10.37,-8.73
9141,3.13,-9.09,-8.12
9166,3.40,-8.68,-8.01
9186,3.67,-8.54,-7.95
9207,3.65,-8.43,-8.12
9228,3.70,-8.25,-8.01
9251,3.83,-7.85,-8.62
9272,3.97,-7.88,-8.34
9293,4.27,-8.15,-7.28
9317,4.72,-8.40,-8.06
9338,5.08,-8.77,-8.68
9358,5.09,-9.00,-7.78
9388,4.93,-9.24,-9.12
9415,4.46,-9.57,-8.85
9447,4.09,-9.49,-7.95
9469,3.19,-9.90,-8.85
9488,2.65,-9.90,-9.40
9512,2.35,-9.36,-8.06
9532,2.03,-8.95,-8.51
9553,1.81,-8.20,-9.07
9577,2.17,-7.81,-9.40
9598,2.38,-7.43,-8.45
9619,2.52,-6.78,-9.01
9639,3.21,-5.74,-8.12
9664,3.85,-5.11,-8.12
9684,4.72,-4.28,-9.52
9705,5.47,-4.02,-8.62
9729,5.91,-4.21,-8.45
9750,4.95,-4.45,-8.85
9770,3.95,-4.95,-8.06
9801,3.08,-5.56,-9.12
9838,2.34,-6.45,-8.01
9858,2.39,-7.01,-8.12
9876,2.28,-7.22,-9.12
9897,2.59,-7.60,-9.74
9917,3.22,-8.66,-10.75
9941,3.05,-9.59,-10.02
9962,2.85,-9.34,-9.29
9985,2.79,-8.83,-9.63
10007,2.40,-8.51,-8.96
10027,2.31,-8.19,-7.95
10049,2.26,-7.89,-9.35
10072,2.65,-7.27,-9.18
10093,2.88,-6.63,-9.68
10113,3.13,-5.86,-9.96
10137,3.43,-5.33,-9.80
10157,3.40,-5.58,-9.07
10178,2.87,-5.79,-9.85
10201,2.38,-6.14,-9.91
10222,2.02,-5.78,-9.35
10254,1.73,-5.71,-9.40
10285,1.19,-5.20,-10.24
10304,1.41,-4.39,-9.18
10323,1.62,-3.68,-9.01
10345,2.02,-3.06,-9.85
10366,1.90,-3.26,-9.01
10390,2.52,-3.39,-8.85
10410,2.48,-3.09,-8.51
10430,2.76,-3.36,-9.12
10453,2.63,-3.91,-8.17
10474,2.61,-3.96,-9.24
10494,2.43,-4.15,-9.74
10518,2.32,-4.13,-8.40
10539,2.39,-3.96,-7.84
10558,2.26,-3.63,-8.73
10582,2.06,-3.30,-9.96
10602,2.09,-3.12,-8.96
10622,2.01,-3.30,-9.12
10646,1.76,-3.18,-9.12
10667,1.79,-3.14,-9.01
10690,2.15,-3.08,-8.62
10712,2.37,-3.50,-9.74
10736,2.51,-3.79,-9.01
10756,2.63,-3.79,-9.18
10776,2.40,-4.07,-9.01
10796,2.02,-4.45,-8.79
10820,1.30,-4.39,-8.73
10841,1.10,-3.21,-9.35
10865,1.16,-2.97,-8.51
10885,0.87,-2.98,-8.40
10905,0.88,-2.50,-9.46
10929,0.54,-3.13,-8.45
10950,0.46,-2.82,-9.29
10970,0.43,-1.76,-8.85
10993,0.87,-1.30,-7.95
11014,1.83,-1.28,-8.01
11035,2.50,-1.39,-9.01
11058,3.02,-1.48,-9.63
11078,3.06,-2.47,-9.07
11099,3.09,-3.07,-9.85
11125,2.88,-3.67,-9.57
11149,2.47,-4.02,-9.01
11169,2.38,-4.02,-9.63
11189,2.06,-4.49,-8.90
11210,1.21,-4.73,-9.01
11233,0.80,-4.93,-9.01
11254,0.46,-4.94,-9.29
11275,0.19,-5.28,-9.40
11298,-0.23,-4.38,-9.96
11319,-0.20,-2.06,-8.62
11343,0.36,-0.64,-8.12
11363,0.76,0.56,-9.29
11383,1.44,1.81,-8.96
11404,1.67,1.69,-8.01
11427,1.65,0.74,-8.68
11448,1.43,-0.02,-9.40
11472,1.23,-0.59,-8.45
11493,1.40,-0.70,-8.79
11513,1.28,-1.28,-9.24
11536,1.26,-1.48,-8.29
11557,1.26,-1.81,-7.95
11576,1.14,-2.06,-7.95
11597,0.80,-2.51,-8.34
11620,0.28,-3.05,-8.23
11641,0.28,-2.95,-9.40
11662,0.09,-2.80,-8.40
11685,-0.01,-2.91,-8.68
11705,0.36,-3.29,-7.95
11725,0.70,-3.45,-8.12
11749,0.99,-4.12,-8.40
11769,0.88,-5.07,-8.45
11790,0.82,-5.94,-9.74
11813,0.63,-6.01,-8.85
11834,0.31,-6.00,-9.85
11854,0.12,-5.74,-8.96
11877,-0.09,-5.27,-8.85
11898,-0.16,-4.57,-8.96
11918,-0.23,-3.80,-9.68
11942,-0.25,-3.26,-9.29
11966,-0.20,-3.04,-8.85
11988,-0.04,-2.98,-9.07
12007,0.06,-3.14,-8.23
12027,0.25,-3.17,-8.01
12051,0.42,-3.10,-8.29
12071,0.55,-2.82,-8.29
12091,0.79,-2.42,-9.52
12112,1.15,-2.07,-9.07
